//k = 4 Spinglass2g SDP_tree
121,1.88331, -8.45242e+06
144,2.43335, -1.07238e+07
169,4.33734, -1.214e+07
196,5.59212, -1.42234e+07
225,10.8872, -1.81734e+07

//k = 4 Spinglass2g SDP
121,130.806, -8.44258e+06
144,343.846, -1.07031e+07
169,1164.69, -1.2127e+07
196,2820.33, -1.42114e+07
225,6951.17, -1.81605e+07

//k = 4 Spinglass2pm SDP_tree
121,1.26202, -109.162
144,1.73367, -130.645
169,2.80559, -152.683
196,3.56017, -178.119
225,6.67207, -200.673

//k = 4 Spinglass2pm SDP
121,102.622, -108.706
144,291.596, -130.239
169,729.294, -152.086
196,1905.11, -177.43
