//k = 4 Spinglass2g SDP_tree
121,1.88331, -8.45242e+06
144,2.43335, -1.07238e+07
169,4.33734, -1.214e+07
196,5.59212, -1.42234e+07
225,10.8872, -1.81734e+07

//k = 4 Spinglass2g SDP
121,130.806, -8.44258e+06
144,343.846, -1.07031e+07
169,1164.69, -1.2127e+07
196,2820.33, -1.42114e+07
225,6951.17, -1.81605e+07

//k = 4 Spinglass2pm SDP_tree
121,1.26202, -109.162
144,1.73367, -130.645
169,2.80559, -152.683
196,3.56017, -178.119
225,6.67207, -200.673

//k = 4 Spinglass2pm SDP
121,102.622, -108.706
144,291.596, -130.239
169,729.294, -152.086
196,1905.11, -177.43
225,4791.15, -199.899


// K=3 Spinglasss2pm SDP
121,76.8683, -107.672
144,227.271, -129.408
169,500.916, -150.587
196,1349.41, -175.724
225,3188.43, -197.887


//K=3 Spinglass2pm SDP_tree
121,1.21142, -108.02
144,1.65946, -129.838
169,2.53872, -151.248
196,3.37336, -176.416
225,5.67383, -198.66

//K=3 Spinglass2g SDP_tree
121,1.74109, -8.42335e+06
144,2.29593, -1.06777e+07
169,4.00498, -1.2088e+07
196,5.63668, -1.416e+07
225,10.3333, -1.80904e+07

// K=3, Spinglass2g SDP
121,125.845, -8.41227e+06
144,359.435, -1.06568e+07
169,866.253, -1.20763e+07
196,2215.69, -1.4147e+07
225,5072.07, -1.80742e+07
